MATERIAL_NAME,BATCH_NUMBER,PLANT_NAME,TOTAL_UNRESRICTED_STOCK_TON,TOTAL_STOCK_PER_MATERIAL_TON,PERCENTAGE_SHARE,MONTHS_IN_WAREHOUSE,SHELF_LIFE_IN_MONTH,EXPIRED,FIRST_MONTH_APPEAR,EXPIRE_MONTH,LAST_MONTH_SEEN,INVENTORY_STATUS,MONTH_NOTICE
MAT-0007,4561A4184,SINGAPORE-WAREHOUSE,41.25,8376.9,0.49,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,5785A9734,CHINA-WAREHOUSE,192.825,8376.9,2.3,7,2,True,2024-06,2024-08-01,2024-12,ยังอยู่,2024-05
MAT-0007,5877A9443,CHINA-WAREHOUSE,63.25,8376.9,0.76,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,5955A8341,CHINA-WAREHOUSE,11.0,8376.9,0.13,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,6003A7381,CHINA-WAREHOUSE,24.75,8376.9,0.3,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,7866A6220,CHINA-WAREHOUSE,26.125,8376.9,0.31,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,8061A7466,CHINA-WAREHOUSE,20.625,8376.9,0.25,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,8142A8788,CHINA-WAREHOUSE,15.125,8376.9,0.18,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,8686A6295,SINGAPORE-WAREHOUSE,8.25,8376.9,0.1,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,9324A9638,CHINA-WAREHOUSE,9.625,8376.9,0.11,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,9357A9820,CHINA-WAREHOUSE,82.5,8376.9,0.98,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,9764A9811,SINGAPORE-WAREHOUSE,8.25,8376.9,0.1,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0008,V7045A,CHINA-WAREHOUSE,5.0,5.0,100.0,13,3,True,2023-12,2024-03-01,2024-12,ยังอยู่,2023-12
MAT-0009,1012A,CHINA-WAREHOUSE,4.55,3552.885,0.13,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,1105A,CHINA-WAREHOUSE,137.8,3552.885,3.88,12,5,True,2024-01,2024-06-01,2024-12,ยังอยู่,2024-03
MAT-0009,1166A,CHINA-WAREHOUSE,18.2,3552.885,0.51,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,1290A,CHINA-WAREHOUSE,68.25,3552.885,1.92,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,1317A,CHINA-WAREHOUSE,22.75,3552.885,0.64,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,1403A,CHINA-WAREHOUSE,105.3,3552.885,2.96,8,5,True,2024-01,2024-06-01,2024-12,ยังอยู่,2024-03
MAT-0009,1454A,CHINA-WAREHOUSE,22.75,3552.885,0.64,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,1535A,CHINA-WAREHOUSE,137.8,3552.885,3.88,9,5,True,2023-12,2024-05-01,2024-12,ยังอยู่,2024-02
MAT-0009,1557A,CHINA-WAREHOUSE,8.45,3552.885,0.24,8,5,True,2024-01,2024-06-01,2024-12,ยังอยู่,2024-03
MAT-0009,1871A,CHINA-WAREHOUSE,44.2,3552.885,1.24,8,5,True,2023-12,2024-05-01,2024-12,ยังอยู่,2024-02
MAT-0009,2017A,CHINA-WAREHOUSE,8.45,3552.885,0.24,9,5,True,2024-01,2024-06-01,2024-12,ยังอยู่,2024-03
MAT-0009,2470A,CHINA-WAREHOUSE,18.2,3552.885,0.51,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,2733A,CHINA-WAREHOUSE,63.7,3552.885,1.79,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,2772A,CHINA-WAREHOUSE,63.7,3552.885,1.79,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,2901A,CHINA-WAREHOUSE,9.1,3552.885,0.26,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,2933A,CHINA-WAREHOUSE,168.35,3552.885,4.74,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,2992A,CHINA-WAREHOUSE,34.45,3552.885,0.97,9,5,True,2024-01,2024-06-01,2024-12,ยังอยู่,2024-03
MAT-0009,3161A,CHINA-WAREHOUSE,45.5,3552.885,1.28,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,3227A,CHINA-WAREHOUSE,0.65,3552.885,0.02,1,5,False,2024-12,2025-05-01,2024-12,ยังอยู่,2025-02
MAT-0009,3397A,CHINA-WAREHOUSE,171.6,3552.885,4.83,8,5,True,2024-01,2024-06-01,2024-12,ยังอยู่,2024-03
MAT-0009,3400A,CHINA-WAREHOUSE,68.9,3552.885,1.94,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,3415A,CHINA-WAREHOUSE,59.15,3552.885,1.66,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,3476A,CHINA-WAREHOUSE,31.85,3552.885,0.9,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,3874A,CHINA-WAREHOUSE,22.75,3552.885,0.64,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,3914A,CHINA-WAREHOUSE,22.75,3552.885,0.64,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,4318A,CHINA-WAREHOUSE,103.35,3552.885,2.91,8,5,True,2024-01,2024-06-01,2024-12,ยังอยู่,2024-03
MAT-0009,4679A,CHINA-WAREHOUSE,122.85,3552.885,3.46,9,5,True,2024-01,2024-06-01,2024-12,ยังอยู่,2024-03
MAT-0009,5141A,CHINA-WAREHOUSE,13.65,3552.885,0.38,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,5373A,CHINA-WAREHOUSE,4.55,3552.885,0.13,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,5435A,CHINA-WAREHOUSE,45.5,3552.885,1.28,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,5567A,CHINA-WAREHOUSE,122.85,3552.885,3.46,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,5585A,CHINA-WAREHOUSE,72.8,3552.885,2.05,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,5836A,CHINA-WAREHOUSE,22.75,3552.885,0.64,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,6392A,CHINA-WAREHOUSE,9.1,3552.885,0.26,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,6558A,CHINA-WAREHOUSE,27.3,3552.885,0.77,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,6618A,CHINA-WAREHOUSE,13.65,3552.885,0.38,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,6874A,CHINA-WAREHOUSE,9.1,3552.885,0.26,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,6971A,CHINA-WAREHOUSE,153.4,3552.885,4.32,12,5,True,2024-01,2024-06-01,2024-12,ยังอยู่,2024-03
MAT-0009,7556A,CHINA-WAREHOUSE,9.085,3552.885,0.26,3,5,False,2024-01,2024-06-01,2024-12,ยังอยู่,2024-03
MAT-0009,7701A,CHINA-WAREHOUSE,32.5,3552.885,0.91,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,8006A,CHINA-WAREHOUSE,9.1,3552.885,0.26,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,8375A,CHINA-WAREHOUSE,0.65,3552.885,0.02,1,5,False,2024-12,2025-05-01,2024-12,ยังอยู่,2025-02
MAT-0009,8519A,CHINA-WAREHOUSE,83.85,3552.885,2.36,8,5,True,2023-12,2024-05-01,2024-12,ยังอยู่,2024-02
MAT-0009,8540A,CHINA-WAREHOUSE,9.1,3552.885,0.26,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,8795A,CHINA-WAREHOUSE,9.75,3552.885,0.27,1,5,False,2024-12,2025-05-01,2024-12,ยังอยู่,2025-02
MAT-0009,9098A,CHINA-WAREHOUSE,424.45,3552.885,11.95,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,9283A,CHINA-WAREHOUSE,97.5,3552.885,2.74,9,5,True,2023-12,2024-05-01,2024-12,ยังอยู่,2024-02
MAT-0009,9468A,CHINA-WAREHOUSE,91.0,3552.885,2.56,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,9554A,CHINA-WAREHOUSE,36.4,3552.885,1.02,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0009,9856A,CHINA-WAREHOUSE,27.3,3552.885,0.77,7,5,True,2024-06,2024-11-01,2024-12,ยังอยู่,2024-08
MAT-0011,M1102B,SINGAPORE-WAREHOUSE,33.0,1879.575,1.76,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0011,M3037B,CHINA-WAREHOUSE,321.75,1879.575,17.12,8,3,True,2024-05,2024-08-01,2024-12,ยังอยู่,2024-05
MAT-0011,M3807B,CHINA-WAREHOUSE,267.175,1879.575,14.21,9,3,True,2024-04,2024-07-01,2024-12,ยังอยู่,2024-04
MAT-0011,M4695A,SINGAPORE-WAREHOUSE,5.5,1879.575,0.29,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0011,M5665B,CHINA-WAREHOUSE,290.375,1879.575,15.45,9,3,True,2024-04,2024-07-01,2024-12,ยังอยู่,2024-04
MAT-0011,M6259B,CHINA-WAREHOUSE,222.75,1879.575,11.85,9,3,True,2024-04,2024-07-01,2024-12,ยังอยู่,2024-04
MAT-0011,M6835A,SINGAPORE-WAREHOUSE,96.9,1879.575,5.16,2,3,False,2024-11,2025-02-01,2024-12,ยังอยู่,2024-11
MAT-0011,M8106B,SINGAPORE-WAREHOUSE,11.0,1879.575,0.59,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0011,M8953A,CHINA-WAREHOUSE,594.0,1879.575,31.6,9,3,True,2024-04,2024-07-01,2024-12,ยังอยู่,2024-04
MAT-0012,1687A3696,SINGAPORE-WAREHOUSE,129.25,3780.575,3.42,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,1979A5425,SINGAPORE-WAREHOUSE,13.75,3780.575,0.36,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,2609A1584,SINGAPORE-WAREHOUSE,86.625,3780.575,2.29,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,2716A8543,SINGAPORE-WAREHOUSE,93.5,3780.575,2.47,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,2760A7630,SINGAPORE-WAREHOUSE,156.75,3780.575,4.15,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,2774A1389,SINGAPORE-WAREHOUSE,63.25,3780.575,1.67,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,3090A5640,SINGAPORE-WAREHOUSE,66.0,3780.575,1.75,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,3223A6762,SINGAPORE-WAREHOUSE,92.125,3780.575,2.44,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,3561A3973,SINGAPORE-WAREHOUSE,96.25,3780.575,2.55,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,3757A2947,SINGAPORE-WAREHOUSE,27.5,3780.575,0.73,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,3795A7746,SINGAPORE-WAREHOUSE,99.0,3780.575,2.62,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,4224A1385,SINGAPORE-WAREHOUSE,43.5,3780.575,1.15,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,4289A5135,SINGAPORE-WAREHOUSE,93.5,3780.575,2.47,3,2,True,2024-10,2024-12-01,2024-12,ยังอยู่,2024-09
MAT-0012,4378A7017,SINGAPORE-WAREHOUSE,78.375,3780.575,2.07,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,4399A4027,SINGAPORE-WAREHOUSE,44.0,3780.575,1.16,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,4799A9192,SINGAPORE-WAREHOUSE,148.5,3780.575,3.93,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,5049A6278,SINGAPORE-WAREHOUSE,90.75,3780.575,2.4,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,5119A9050,SINGAPORE-WAREHOUSE,74.25,3780.575,1.96,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,5270A5018,SINGAPORE-WAREHOUSE,64.625,3780.575,1.71,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,5892A5566,SINGAPORE-WAREHOUSE,52.25,3780.575,1.38,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,6036A4955,SINGAPORE-WAREHOUSE,92.125,3780.575,2.44,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,6833A4663,SINGAPORE-WAREHOUSE,68.75,3780.575,1.82,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,6899A1530,SINGAPORE-WAREHOUSE,85.25,3780.575,2.25,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,7022A8165,SINGAPORE-WAREHOUSE,24.75,3780.575,0.65,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,7481A2465,CHINA-WAREHOUSE,132.0,3780.575,3.49,7,2,True,2024-06,2024-08-01,2024-12,ยังอยู่,2024-05
MAT-0012,7544A6876,SINGAPORE-WAREHOUSE,49.5,3780.575,1.31,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,7597A5142,SINGAPORE-WAREHOUSE,93.5,3780.575,2.47,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,7670A9416,SINGAPORE-WAREHOUSE,90.75,3780.575,2.4,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,8048A6261,SINGAPORE-WAREHOUSE,64.625,3780.575,1.71,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,8764A7052,SINGAPORE-WAREHOUSE,158.125,3780.575,4.18,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,8808A5968,SINGAPORE-WAREHOUSE,86.625,3780.575,2.29,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,9046A2576,SINGAPORE-WAREHOUSE,68.75,3780.575,1.82,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0012,9614A5828,SINGAPORE-WAREHOUSE,24.75,3780.575,0.65,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0012,9815A8256,SINGAPORE-WAREHOUSE,211.75,3780.575,5.6,6,2,True,2024-07,2024-09-01,2024-12,ยังอยู่,2024-06
MAT-0013,V2475A,CHINA-WAREHOUSE,166.55,4920.9,3.38,3,3,False,2024-10,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0013,V2524A,CHINA-WAREHOUSE,485.125,4920.9,9.86,4,3,True,2024-09,2024-12-01,2024-12,ยังอยู่,2024-09
MAT-0013,V7681A,CHINA-WAREHOUSE,16.55,4920.9,0.34,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0013,V9936A,CHINA-WAREHOUSE,51.0,4920.9,1.04,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0014,M6614A,SINGAPORE-WAREHOUSE,109.75,467.521,23.47,6,3,True,2024-07,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0014,M6923B,SINGAPORE-WAREHOUSE,223.725,467.521,47.85,6,3,True,2024-07,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0015,R5049A,CHINA-WAREHOUSE,338.25,22789.3,1.48,3,8,False,2024-10,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0015,R5109A,CHINA-WAREHOUSE,2310.675,22789.3,10.14,4,8,False,2024-09,2025-05-01,2024-12,ยังอยู่,2025-02
MAT-0015,R6878A,CHINA-WAREHOUSE,614.475,22789.3,2.7,3,8,False,2024-10,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0015,R9146A,CHINA-WAREHOUSE,594.0,22789.3,2.61,1,8,False,2024-12,2025-08-01,2024-12,ยังอยู่,2025-05
MAT-0017,1365A,CHINA-WAREHOUSE,110.0,5075.125,2.17,9,6,True,2024-04,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0017,1815A,CHINA-WAREHOUSE,42.5,5075.125,0.84,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,1853A,CHINA-WAREHOUSE,62.5,5075.125,1.23,2,6,False,2024-11,2025-05-01,2024-12,ยังอยู่,2025-02
MAT-0017,1929A,CHINA-WAREHOUSE,90.0,5075.125,1.77,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,2075A,CHINA-WAREHOUSE,42.5,5075.125,0.84,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,2201A,CHINA-WAREHOUSE,15.0,5075.125,0.3,3,6,False,2024-10,2025-04-01,2024-12,ยังอยู่,2025-01
MAT-0017,2345A,CHINA-WAREHOUSE,78.75,5075.125,1.55,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,2385A,CHINA-WAREHOUSE,67.425,5075.125,1.33,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,2657A,CHINA-WAREHOUSE,138.55,5075.125,2.73,9,6,True,2024-04,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0017,2879A,CHINA-WAREHOUSE,15.0,5075.125,0.3,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,3464A,CHINA-WAREHOUSE,10.0,5075.125,0.2,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,3561A,CHINA-WAREHOUSE,2.5,5075.125,0.05,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,3604A,CHINA-WAREHOUSE,3.75,5075.125,0.07,3,6,False,2024-10,2025-04-01,2024-12,ยังอยู่,2025-01
MAT-0017,4417A,CHINA-WAREHOUSE,3.75,5075.125,0.07,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,4846A,CHINA-WAREHOUSE,93.75,5075.125,1.85,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,5328A,CHINA-WAREHOUSE,3.75,5075.125,0.07,3,6,False,2024-10,2025-04-01,2024-12,ยังอยู่,2025-01
MAT-0017,5472A,CHINA-WAREHOUSE,70.0,5075.125,1.38,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,5543A,CHINA-WAREHOUSE,70.0,5075.125,1.38,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,5548A,CHINA-WAREHOUSE,157.5,5075.125,3.1,3,6,False,2024-10,2025-04-01,2024-12,ยังอยู่,2025-01
MAT-0017,5580A,CHINA-WAREHOUSE,130.0,5075.125,2.56,9,6,True,2024-04,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0017,5786A,CHINA-WAREHOUSE,94.95,5075.125,1.87,2,6,False,2024-11,2025-05-01,2024-12,ยังอยู่,2025-02
MAT-0017,5902A,CHINA-WAREHOUSE,398.2,5075.125,7.85,9,6,True,2024-04,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0017,6074A,CHINA-WAREHOUSE,92.5,5075.125,1.82,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,6370A,CHINA-WAREHOUSE,71.25,5075.125,1.4,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,6586A,CHINA-WAREHOUSE,243.75,5075.125,4.8,3,6,False,2024-10,2025-04-01,2024-12,ยังอยู่,2025-01
MAT-0017,6970A,CHINA-WAREHOUSE,494.7,5075.125,9.75,9,6,True,2024-04,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0017,6981A,CHINA-WAREHOUSE,23.75,5075.125,0.47,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,7106A,CHINA-WAREHOUSE,123.75,5075.125,2.44,3,6,False,2024-10,2025-04-01,2024-12,ยังอยู่,2025-01
MAT-0017,8070A,CHINA-WAREHOUSE,371.25,5075.125,7.32,9,6,True,2024-04,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0017,8479A,CHINA-WAREHOUSE,209.5,5075.125,4.13,9,6,True,2024-04,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0017,8521A,CHINA-WAREHOUSE,3.75,5075.125,0.07,3,6,False,2024-10,2025-04-01,2024-12,ยังอยู่,2025-01
MAT-0017,8565A,CHINA-WAREHOUSE,90.0,5075.125,1.77,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,8702A,CHINA-WAREHOUSE,3.75,5075.125,0.07,3,6,False,2024-10,2025-04-01,2024-12,ยังอยู่,2025-01
MAT-0017,8718A,CHINA-WAREHOUSE,96.25,5075.125,1.9,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,8790A,CHINA-WAREHOUSE,93.75,5075.125,1.85,9,6,True,2024-04,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0017,9157A,CHINA-WAREHOUSE,416.05,5075.125,8.2,9,6,True,2024-04,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0017,9461A,CHINA-WAREHOUSE,66.175,5075.125,1.3,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,9600A,CHINA-WAREHOUSE,36.25,5075.125,0.71,1,6,False,2024-12,2025-06-01,2024-12,ยังอยู่,2025-03
MAT-0017,9728A,CHINA-WAREHOUSE,333.3,5075.125,6.57,9,6,True,2024-04,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0018,E2619A,CHINA-WAREHOUSE,123.75,1402.875,8.82,1,4,False,2024-12,2025-04-01,2024-12,ยังอยู่,2025-01
MAT-0018,E6152A,CHINA-WAREHOUSE,157.125,1402.875,11.2,7,4,True,2024-06,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0018,E8472A,CHINA-WAREHOUSE,654.5,1402.875,46.65,6,4,True,2024-07,2024-11-01,2024-12,ยังอยู่,2024-08
