DATE,PLANT_NAME,MODE_OF_TRANSPORT,MATERIAL_NAME,CUSTOMER_NUMBER,NET_QUANTITY_KT_OUTBOUND
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00021,0.003
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00022,0.015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0007,CST-00023,0.00413
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0007,CST-00023,0.01925
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0007,CST-00023,0.00138
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0055,CST-00024,0.01238
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0339,CST-00025,0.00035
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00026,0.0001
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00027,5e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00028,0.00055
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00028,0.00103
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00028,2.9999999999999997e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00028,0.0014
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00029,0.0225
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00030,0.0225
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00025,0.0002
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00025,5e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00025,0.0001
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00031,0.003
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00032,0.0005
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00033,0.0055
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,0.005
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,0.0225
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,0.01738
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,0.00013000000000000002
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,0.00065
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,0.015130000000000001
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,0.02195
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,0.00138
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,0.0011799999999999998
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,0.00098
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,0.00125
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,0.00413
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,0.00138
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,0.0013
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,0.0002
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00021,0.009
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0195,CST-00026,8e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0195,CST-00026,2.9999999999999997e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,0.022
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,0.0006
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,0.00128
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,0.00088
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00008,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00035,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00036,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00036,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00037,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00037,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00038,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00039,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00039,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00038,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00039,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00037,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00040,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00041,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00042,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00044,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00045,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00048,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00049,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00050,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00051,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00051,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0428,CST-00016,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0428,CST-00016,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00035,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,0.0089
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00050,0.01788
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,0.01585
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00053,0.02
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00053,0.0225
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00053,0.0025
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00003,0.012
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00003,0.027
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00030,0.0105
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00054,0.015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00055,0.0015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,0.00135
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,0.0067800000000000004
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,8e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,0.01648
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,8e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0064,CST-00057,0.023
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0064,CST-00057,0.023
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0064,CST-00057,0.023
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00058,0.0165
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00058,0.0165
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0378,CST-00059,0.01925
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00058,0.0165
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0378,CST-00059,0.0055
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,0.00103
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,0.0004
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0386,CST-00060,0.00133
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00037,0.0225
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00037,0.0135
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00038,0.015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,0.00013000000000000002
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,0.00138
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0375,CST-00025,0.0001
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00061,0.009
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0005,CST-00062,2.9999999999999997e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,0.00433
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,0.021
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00063,0.00017999999999999998
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00064,0.018
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00065,0.015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,0.0246
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,2.9999999999999997e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00011,0.00013000000000000002
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,5e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.01375
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.00028000000000000003
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.01068
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00066,0.00825
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00066,0.0165
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00037,0.012
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00038,0.015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00038,0.009
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00065,0.0105
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00067,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00068,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00069,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00058,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00070,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00070,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00058,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00050,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00050,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00050,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00071,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0099,CST-00011,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00073,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00073,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00075,0.003
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,0.003
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,0.00285
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00003,0.00015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0046,CST-00076,5e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0317,CST-00077,0.0005
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00078,8e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00078,0.00013000000000000002
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00079,0.0005
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00037,0.0135
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0333,CST-00080,0.0001
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,0.00017999999999999998
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,5e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00079,0.00128
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00081,0.01238
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00082,0.0045
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00083,0.018
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00084,0.01
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00085,0.015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00084,0.0125
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,8e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.01228
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.0013
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.009630000000000001
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.00268
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.0013
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.00023
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.022
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,2.9999999999999997e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.023379999999999998
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.019030000000000002
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.0055
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.00023
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,0.00138
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,0.01925
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00074,0.0055
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0046,CST-00025,0.00015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0055,CST-00025,0.0002
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,0.0001
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,0.011
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00049,0.01365
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00037,0.012
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00008,0.01375
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,0.02185
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,0.00015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00008,0.011
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00086,0.00275
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0111,CST-00086,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00035,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00085,0.0105
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00003,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00089,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00090,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00091,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00002,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00072,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00092,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00074,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00074,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00093,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00093,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00093,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00093,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00094,0.00813
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00094,0.00013000000000000002
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00094,0.0165
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,0.00065
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,0.00415
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,0.0195
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0176,CST-00088,0.0012
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00095,0.015
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0413,CST-00096,5e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0103,CST-00096,0.00138
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0035,CST-00097,0.00275
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,0.0003
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,0.00145
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,0.00068
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00098,0.00058
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00025,2.9999999999999997e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0035,CST-00025,0.00413
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0380,CST-00025,0.0001
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0197,CST-00025,8e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.00113
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.00128
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.0001
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.0013
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.00133
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.00125
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,2.9999999999999997e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.00128
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.0014299999999999998
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00038,0.0014
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,0.00078
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,0.024
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00087,0.00073
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00025,2.9999999999999997e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00025,0.0002
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00099,0.0008
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00099,0.0014299999999999998
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00099,0.00078
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00100,0.01375
