BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK_KT,STOCK_SELL_VALUE,CURRENCY,STOCK_SELL_VALUE_THB
2024-01-01,CHINA-WAREHOUSE,MAT-0047,2751A,0.01875,159938,CNY,722919.7599999999
2024-01-01,CHINA-WAREHOUSE,MAT-0047,3175A,0.005,42650,CNY,192777.99999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0094,2542A,0.0018,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0258,9307A3844,0.009625,56403,CNY,254941.55999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0258,M7075B,0.001925,11281,CNY,50990.119999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0258,SCRAP,0.011187,65558,CNY,296322.16
2024-01-01,CHINA-WAREHOUSE,MAT-0259,9061A,0.0009,2826,CNY,12773.519999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0259,8447A,0.0055,17270,CNY,78060.4
2024-01-01,CHINA-WAREHOUSE,MAT-0259,9735A,0.028725,90197,CNY,407690.43999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0259,9226A,0.000625,1963,CNY,8872.759999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0259,1423A,0.045,141300,CNY,638675.9999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0259,3487A,0.045,141300,CNY,638675.9999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0098,9004A,0.043925,97953,CNY,442747.55999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0098,8715A,0.131825,293970,CNY,1328744.4
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M6854B,0.001125,4838,CNY,21867.76
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M3678A,0.001375,5913,CNY,26726.76
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M7346A,0.085175,366253,CNY,1655463.5599999998
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M8164A,0.061875,266063,CNY,1202604.7599999998
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M5829B,0.0825,354750,CNY,1603469.9999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M1528C,0.011,47300,CNY,213795.99999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M2486A,0.015125,65038,CNY,293971.75999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M3791B,0.009625,41388,CNY,187073.75999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M5597B,0.05775,248325,CNY,1122429.0
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M9152A,0.024725,106318,CNY,480557.3599999999
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M9486B,0.0165,70950,CNY,320693.99999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M8201C,0.017875,76863,CNY,347420.75999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M2579A,0.028875,124163,CNY,561216.7599999999
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M4688B,0.026125,112338,CNY,507767.75999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M6726C,0.0825,354750,CNY,1603469.9999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M7918A,0.023375,100513,CNY,454318.75999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M9252C,0.015125,65038,CNY,293971.75999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M1995C,0.077,331100,CNY,1496571.9999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M3007A,0.09075,390225,CNY,1763816.9999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M8070B,0.088,378400,CNY,1710367.9999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M3971C,0.02475,106425,CNY,481040.99999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M5585B,0.033,141900,CNY,641387.9999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M4932C,0.067325,289498,CNY,1308530.96
2024-01-01,CHINA-WAREHOUSE,MAT-0099,M4750A,0.048125,206938,CNY,935359.7599999999
2024-01-01,CHINA-WAREHOUSE,MAT-0375,P9558A,0.000125,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0375,P5154A,0.0,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0375,P9091A,0.05095,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0375,P2167A,0.051,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0376,P8018A,0.001175,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0376,P6453A,0.0015,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0312,P3115A,0.000975,3861,CNY,17451.719999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0312,P9167A,0.03135,124542,CNY,562929.84
2024-01-01,CHINA-WAREHOUSE,MAT-0233,P5822A,0.000525,2079,CNY,9397.08
2024-01-01,CHINA-WAREHOUSE,MAT-0233,P4793A,0.003,11880,CNY,53697.6
2024-01-01,CHINA-WAREHOUSE,MAT-0233,P7722A,0.003,11880,CNY,53697.6
2024-01-01,CHINA-WAREHOUSE,MAT-0377,P9024A,0.001325,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0377,P6100A,0.0509,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0377,P4150A,0.0989,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0377,P6717A,0.0011,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0198,6338,0.0007,2198,CNY,9934.96
2024-01-01,CHINA-WAREHOUSE,MAT-0198,7701,0.023325,73241,CNY,331049.31999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0198,5498,0.106675,334960,CNY,1514019.2
2024-01-01,CHINA-WAREHOUSE,MAT-0198,7484,0.0025,7850,CNY,35482.0
2024-01-01,CHINA-WAREHOUSE,MAT-0198,9399,0.157875,495728,CNY,2240690.5599999996
2024-01-01,CHINA-WAREHOUSE,MAT-0198,9553,0.03025,94985,CNY,429332.19999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0198,5258,0.055,172700,CNY,780603.9999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0198,3856,0.07975,250415,CNY,1131875.7999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0198,9568,0.001375,4318,CNY,19517.359999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0198,8787,0.15395,483403,CNY,2184981.5599999996
2024-01-01,CHINA-WAREHOUSE,MAT-0198,7513,0.000675,2120,CNY,9582.4
2024-01-01,CHINA-WAREHOUSE,MAT-0198,7365,0.0301,94514,CNY,427203.27999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0198,1295,0.073575,231026,CNY,1044237.5199999999
2024-01-01,CHINA-WAREHOUSE,MAT-0100,E6887A,0.0013,7852,CNY,35491.03999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0100,E2694A,0.00015,906,CNY,4095.1199999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0100,E5167A,0.001275,7701,CNY,34808.52
2024-01-01,CHINA-WAREHOUSE,MAT-0100,E3128A,0.0013,7852,CNY,35491.03999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0100,E1699A,0.001275,7701,CNY,34808.52
2024-01-01,CHINA-WAREHOUSE,MAT-0100,S7146A,0.00125,7550,CNY,34126.0
2024-01-01,CHINA-WAREHOUSE,MAT-0100,SCRAP,0.005143,31063,CNY,140404.75999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0095,SCRAP,0.001685,2325,CNY,10508.999999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0260,8509A,0.0024,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0204,4880A,0.0096,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0204,8331A,0.0006,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0052,4755A,0.0084,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0261,P9226A,0.0,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0261,P3205A,0.000125,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0261,P7905A,0.203875,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0261,P1110A,0.0765,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0261,P5729A,0.076425,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0261,P9149A,0.1785,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0141,SCRAP,0.008534,31917,CNY,144264.84
2024-01-01,CHINA-WAREHOUSE,MAT-0313,P7592A,0.0015,6336,CNY,28638.719999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0313,P8966A,0.001,3960,CNY,17899.199999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0199,SCRAP,0.007369,105742,CNY,477953.83999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0199,T2455A,0.001175,16861,CNY,76211.71999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0199,T5551A,0.000675,9686,CNY,43780.719999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0199,T7421A,0.001075,15426,CNY,69725.51999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V8051A,0.000875,12556,CNY,56753.119999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V7518A,0.0001,1435,CNY,6486.2
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V2061A,0.000675,9686,CNY,43780.719999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V4761A,0.000525,7534,CNY,34053.68
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V2724A,0.000125,1794,CNY,8108.879999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V6816A,0.001,14350,CNY,64861.99999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V3118A,0.00065,9328,CNY,42162.56
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V2011A,0.00035,5023,CNY,22703.96
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V4008A,0.0013,18655,CNY,84320.59999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V3640A,0.001325,19014,CNY,85943.28
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V6558A,0.0015,21525,CNY,97292.99999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V6789A,0.000725,10404,CNY,47026.079999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V3262A,0.00015,2153,CNY,9731.56
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V9383A,0.000125,1794,CNY,8108.879999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V9606A,0.001475,21166,CNY,95670.31999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0199,V2440A,0.000775,11121,CNY,50266.92
2024-01-01,CHINA-WAREHOUSE,MAT-0200,8656A,0.0006,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0142,V7073A,0.000475,5045,CNY,22803.399999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0142,V9711A,0.146875,1559813,CNY,7050354.76
2024-01-01,CHINA-WAREHOUSE,MAT-0142,V3722A,0.056925,604544,CNY,2732538.88
2024-01-01,CHINA-WAREHOUSE,MAT-0142,V6666A,0.00105,11151,CNY,50402.52
2024-01-01,CHINA-WAREHOUSE,MAT-0142,V6609A,0.057,605340,CNY,2736136.8
2024-01-01,CHINA-WAREHOUSE,MAT-0142,V2490A,0.1995,2118690,CNY,9576478.799999999
2024-01-01,CHINA-WAREHOUSE,MAT-0142,V6324A,0.146925,1560344,CNY,7052754.879999999
2024-01-01,CHINA-WAREHOUSE,MAT-0142,V1368A,0.2609,2770758,CNY,12523826.159999998
2024-01-01,CHINA-WAREHOUSE,MAT-0143,V9895A,0.305925,3248924,CNY,14685136.479999999
2024-01-01,CHINA-WAREHOUSE,MAT-0143,V4276A,0.178425,1894874,CNY,8564830.479999999
2024-01-01,CHINA-WAREHOUSE,MAT-0143,V2118A,0.196175,2083379,CNY,9416873.079999998
2024-01-01,CHINA-WAREHOUSE,MAT-0314,V3829A,0.0937,1119715,CNY,5061111.8
2024-01-01,CHINA-WAREHOUSE,MAT-0314,V5271A,0.3089,3691355,CNY,16684924.599999998
2024-01-01,CHINA-WAREHOUSE,MAT-0314,V1930A,0.12745,1523028,CNY,6884086.56
2024-01-01,CHINA-WAREHOUSE,MAT-0314,V3917A,0.52165,6233718,CNY,28176405.359999996
2024-01-01,CHINA-WAREHOUSE,MAT-0314,V7931A,0.263875,3153306,CNY,14252943.12
2024-01-01,CHINA-WAREHOUSE,MAT-0314,V2656A,0.437825,5232009,CNY,23648680.679999996
2024-01-01,CHINA-WAREHOUSE,MAT-0144,V1646A,0.09805,1041291,CNY,4706635.319999999
2024-01-01,CHINA-WAREHOUSE,MAT-0144,V7961A,0.1784,1894608,CNY,8563628.159999998
2024-01-01,CHINA-WAREHOUSE,MAT-0145,V4616A,0.000625,6719,CNY,30369.879999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0145,V1892A,0.0014,15050,CNY,68026.0
2024-01-01,CHINA-WAREHOUSE,MAT-0145,V2944A,0.000825,8869,CNY,40087.88
2024-01-01,CHINA-WAREHOUSE,MAT-0145,V8079A,0.015,161250,CNY,728849.9999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0145,V1803A,0.03295,354213,CNY,1601042.7599999998
2024-01-01,CHINA-WAREHOUSE,MAT-0145,V2181A,0.569825,6125619,CNY,27687797.88
2024-01-01,CHINA-WAREHOUSE,MAT-0145,V3873A,0.0495,532125,CNY,2405205.0
2024-01-01,CHINA-WAREHOUSE,MAT-0145,V6253A,0.0795,854625,CNY,3862904.9999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0145,V4730A,0.24435,2626763,CNY,11872968.76
2024-01-01,CHINA-WAREHOUSE,MAT-0145,V4194A,0.185925,1998694,CNY,9034096.879999999
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V9468A,0.00055,6617,CNY,29908.839999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V6285A,0.00595,71579,CNY,323537.07999999996
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V4193A,0.00145,17444,CNY,78846.87999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V6964A,0.170925,2056228,CNY,9294150.559999999
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V1126A,0.08395,1009919,CNY,4564833.88
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V8818A,0.2549,3066447,CNY,13860340.44
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V5910A,0.278875,3354866,CNY,15163994.319999998
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V9422A,0.365875,4401476,CNY,19894671.52
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V3182A,0.45135,5429741,CNY,24542429.319999997
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V7533A,0.1919,2308557,CNY,10434677.639999999
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V9040A,0.2969,3571707,CNY,16144115.639999999
2024-01-01,CHINA-WAREHOUSE,MAT-0001,V8150A,0.123,1479690,CNY,6688198.8
2024-01-01,CHINA-WAREHOUSE,MAT-0201,V5858A,0.0449,476838,CNY,2155307.76
2024-01-01,CHINA-WAREHOUSE,MAT-0201,V6160A,0.1402,1488924,CNY,6729936.4799999995
2024-01-01,CHINA-WAREHOUSE,MAT-0201,V3718A,0.211425,2245334,CNY,10148909.68
2024-01-01,CHINA-WAREHOUSE,MAT-0201,V1024A,0.298375,3168743,CNY,14322718.36
2024-01-01,CHINA-WAREHOUSE,MAT-0201,V9579A,0.266925,2834744,CNY,12813042.879999999
2024-01-01,CHINA-WAREHOUSE,MAT-0201,V6975A,0.089925,955004,CNY,4316618.079999999
2024-01-01,CHINA-WAREHOUSE,MAT-0262,E9917A,0.0495,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0319,S5659A,0.000725,5329,CNY,24087.079999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0319,S5796A,0.0013,9555,CNY,43188.6
2024-01-01,CHINA-WAREHOUSE,MAT-0319,S4343A,0.001275,9371,CNY,42356.92
2024-01-01,CHINA-WAREHOUSE,MAT-0319,S2732A,0.20615,1879028,CNY,8493206.559999999
2024-01-01,CHINA-WAREHOUSE,MAT-0319,S3684A,0.379425,2788774,CNY,12605258.479999999
2024-01-01,CHINA-WAREHOUSE,MAT-0048,SCRAP,2.4e-05,31,CNY,140.11999999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0205,SCRAP,0.000386,2333,CNY,10545.16
2024-01-01,CHINA-WAREHOUSE,MAT-0176,T2572A,0.102,1297440,CNY,5864428.8
2024-01-01,CHINA-WAREHOUSE,MAT-0096,M3832A,0.07425,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0096,M8913A,0.039875,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0096,M9260B,0.03435,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0096,M4796B,0.004125,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0096,M9345B,0.001375,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0096,M4548C,0.068675,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0146,R1561A,0.00405,18468,CNY,83475.35999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0146,S8199A,0.0,110808,CNY,500852.16
2024-01-01,CHINA-WAREHOUSE,MAT-0146,S9026A,0.0,19722,CNY,89143.43999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0146,S4280A,0.000675,3078,CNY,13912.56
2024-01-01,CHINA-WAREHOUSE,MAT-0146,S5192A,0.0,112860,CNY,510127.19999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0146,S2020A,0.148425,676818,CNY,3059217.36
2024-01-01,CHINA-WAREHOUSE,MAT-0146,S5686A,0.445425,2031138,CNY,9180743.76
2024-01-01,CHINA-WAREHOUSE,MAT-0049,S6930A,0.000975,117306,CNY,530223.12
2024-01-01,CHINA-WAREHOUSE,MAT-0049,S8187A,0.0192,313272,CNY,1415989.44
2024-01-01,CHINA-WAREHOUSE,MAT-0013,V9843A,0.1766,1898450,CNY,8580994.0
2024-01-01,CHINA-WAREHOUSE,MAT-0013,V2096A,0.153,1644750,CNY,7434269.999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0147,V2793A,0.004275,2138,CNY,9663.759999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0147,V2472A,0.1274,63700,CNY,287924.0
2024-01-01,CHINA-WAREHOUSE,MAT-0147,V6865A,0.0765,38250,CNY,172889.99999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0003,7795,0.073372,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0003,8045,0.039168,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0004,V8928C,0.0045,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0004,V2541A,0.002975,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0004,V6032A,0.051,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0004,V7115A,0.02545,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0320,M7894A,0.0162,73872,CNY,333901.43999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0016,E2405A,0.0,2924,CNY,13216.48
2024-01-01,CHINA-WAREHOUSE,MAT-0016,E6401A,0.0,52637,CNY,237919.24
2024-01-01,CHINA-WAREHOUSE,MAT-0321,R8701A,0.024725,181729,CNY,821415.08
2024-01-01,CHINA-WAREHOUSE,MAT-0321,R9005A,0.0012,8820,CNY,39866.399999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0321,R6359A,0.1485,1091475,CNY,4933467.0
2024-01-01,CHINA-WAREHOUSE,MAT-0321,R2954A,0.0865,635775,CNY,2873702.9999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0321,R3567A,0.2475,1819125,CNY,8222444.999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0382,R1291A,0.1484,1090740,CNY,4930144.8
2024-01-01,CHINA-WAREHOUSE,MAT-0382,S7794A,0.0,177870,CNY,803972.3999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0382,S1745A,0.0002,1470,CNY,6644.4
2024-01-01,CHINA-WAREHOUSE,MAT-0382,S5257A,0.1842,1353870,CNY,6119492.399999999
2024-01-01,CHINA-WAREHOUSE,MAT-0382,S9812A,0.0,363825,CNY,1644488.9999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0053,R9300A,0.0002,1518,CNY,6861.36
2024-01-01,CHINA-WAREHOUSE,MAT-0053,R8246A,0.086575,657104,CNY,2970110.0799999996
