BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK,STOCK_UNIT,STOCK_SELL_VALUE,CURRENCY,MONTH,EXCHANGE_RATE,SELL_VALUE_THB
2023-12-31,CHINA-WAREHOUSE,MAT-0082,2090A,25000,KG,213250,CNY,2023-12,4.53,966022.5
2023-12-31,CHINA-WAREHOUSE,MAT-0082,9762A,105000,KG,895650,CNY,2023-12,4.53,4057294.5
2023-12-31,CHINA-WAREHOUSE,MAT-0082,7599A,30000,KG,255900,CNY,2023-12,4.53,1159227.0
2023-12-31,CHINA-WAREHOUSE,MAT-0082,7853A,32500,KG,277225,CNY,2023-12,4.53,1255829.25
2023-12-31,CHINA-WAREHOUSE,MAT-0082,9359A,88675,KG,756398,CNY,2023-12,4.53,3426482.9400000004
2023-12-31,CHINA-WAREHOUSE,MAT-0082,3782A,67500,KG,575775,CNY,2023-12,4.53,2608260.75
2023-12-31,CHINA-WAREHOUSE,MAT-0082,8111A,11250,KG,95963,CNY,2023-12,4.53,434712.39
2023-12-31,CHINA-WAREHOUSE,MAT-0196,3198A,900,KG,7677,CNY,2023-12,4.53,34776.810000000005
2023-12-31,CHINA-WAREHOUSE,MAT-0196,9509A,47500,KG,405175,CNY,2023-12,4.53,1835442.75
2023-12-31,CHINA-WAREHOUSE,MAT-0196,6985A,30000,KG,255900,CNY,2023-12,4.53,1159227.0
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3423A,35000,KG,298550,CNY,2023-12,4.53,1352431.5
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3484A,52425,KG,447185,CNY,2023-12,4.53,2025748.05
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3322A,6250,KG,53313,CNY,2023-12,4.53,241507.89
2023-12-31,CHINA-WAREHOUSE,MAT-0047,8958A,1125,KG,9596,CNY,2023-12,4.53,43469.880000000005
2023-12-31,CHINA-WAREHOUSE,MAT-0047,2945A,107400,KG,916122,CNY,2023-12,4.53,4150032.66
2023-12-31,CHINA-WAREHOUSE,MAT-0047,4889A,41200,KG,351436,CNY,2023-12,4.53,1592005.08
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3314A,2500,KG,21325,CNY,2023-12,4.53,96602.25
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3532A,1250,KG,10663,CNY,2023-12,4.53,48303.39
2023-12-31,CHINA-WAREHOUSE,MAT-0047,6746A,60000,KG,511800,CNY,2023-12,4.53,2318454.0
2023-12-31,CHINA-WAREHOUSE,MAT-0047,1825A,85000,KG,725050,CNY,2023-12,4.53,3284476.5
2023-12-31,CHINA-WAREHOUSE,MAT-0047,4531A,101250,KG,863663,CNY,2023-12,4.53,3912393.39
2023-12-31,CHINA-WAREHOUSE,MAT-0047,7900A,100000,KG,853000,CNY,2023-12,4.53,3864090.0
2023-12-31,CHINA-WAREHOUSE,MAT-0047,9845A,90000,KG,767700,CNY,2023-12,4.53,3477681.0
2023-12-31,CHINA-WAREHOUSE,MAT-0047,2751A,18750,KG,159938,CNY,2023-12,4.53,724519.14
2023-12-31,CHINA-WAREHOUSE,MAT-0047,3175A,5000,KG,42650,CNY,2023-12,4.53,193204.5
2023-12-31,CHINA-WAREHOUSE,MAT-0094,2542A,1800,KG,1674,CNY,2023-12,4.53,7583.22
2023-12-31,CHINA-WAREHOUSE,MAT-0258,SCRAP,10048,KG,58879,CNY,2023-12,4.53,266721.87
2023-12-31,CHINA-WAREHOUSE,MAT-0259,9061A,900,KG,2826,CNY,2023-12,4.53,12801.78
2023-12-31,CHINA-WAREHOUSE,MAT-0259,6906A,750,KG,2355,CNY,2023-12,4.53,10668.150000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0259,8447A,0,KG,17270,CNY,2023-12,4.53,78233.1
2023-12-31,CHINA-WAREHOUSE,MAT-0259,4875A,20000,KG,62800,CNY,2023-12,4.53,284484.0
2023-12-31,CHINA-WAREHOUSE,MAT-0259,9735A,38725,KG,121597,CNY,2023-12,4.53,550834.41
2023-12-31,CHINA-WAREHOUSE,MAT-0259,1458B,1175,KG,3690,CNY,2023-12,4.53,16715.7
2023-12-31,CHINA-WAREHOUSE,MAT-0259,9226A,1200,KG,3768,CNY,2023-12,4.53,17069.04
2023-12-31,CHINA-WAREHOUSE,MAT-0259,1423A,45000,KG,141300,CNY,2023-12,4.53,640089.0
2023-12-31,CHINA-WAREHOUSE,MAT-0259,3487A,45000,KG,141300,CNY,2023-12,4.53,640089.0
2023-12-31,CHINA-WAREHOUSE,MAT-0098,9004A,43925,KG,97953,CNY,2023-12,4.53,443727.09
2023-12-31,CHINA-WAREHOUSE,MAT-0098,8715A,156575,KG,349162,CNY,2023-12,4.53,1581703.86
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M6854B,1200,KG,5160,CNY,2023-12,4.53,23374.800000000003
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M7450B,24750,KG,106425,CNY,2023-12,4.53,482105.25
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M3678A,1375,KG,5913,CNY,2023-12,4.53,26785.890000000003
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M8356B,6875,KG,29563,CNY,2023-12,4.53,133920.39
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M6577A,57750,KG,248325,CNY,2023-12,4.53,1124912.25
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M7346A,85175,KG,366253,CNY,2023-12,4.53,1659126.09
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M8769C,38450,KG,165335,CNY,2023-12,4.53,748967.55
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M8164A,82500,KG,354750,CNY,2023-12,4.53,1607017.5
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M5829B,82500,KG,354750,CNY,2023-12,4.53,1607017.5
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M1528C,11000,KG,47300,CNY,2023-12,4.53,214269.0
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M2486A,15125,KG,65038,CNY,2023-12,4.53,294622.14
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M3791B,9625,KG,41388,CNY,2023-12,4.53,187487.64
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M5597B,57750,KG,248325,CNY,2023-12,4.53,1124912.25
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M9152A,24725,KG,106318,CNY,2023-12,4.53,481620.54000000004
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M9486B,16500,KG,70950,CNY,2023-12,4.53,321403.5
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M8201C,17875,KG,76863,CNY,2023-12,4.53,348189.39
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M2579A,28875,KG,124163,CNY,2023-12,4.53,562458.39
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M4688B,26125,KG,112338,CNY,2023-12,4.53,508891.14
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M6726C,82500,KG,354750,CNY,2023-12,4.53,1607017.5
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M7918A,23375,KG,100513,CNY,2023-12,4.53,455323.89
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M9252C,15125,KG,65038,CNY,2023-12,4.53,294622.14
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M1995C,77000,KG,331100,CNY,2023-12,4.53,1499883.0
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M3007A,90750,KG,390225,CNY,2023-12,4.53,1767719.25
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M8070B,88000,KG,378400,CNY,2023-12,4.53,1714152.0
2023-12-31,CHINA-WAREHOUSE,MAT-0099,M3971C,24750,KG,106425,CNY,2023-12,4.53,482105.25
2023-12-31,CHINA-WAREHOUSE,MAT-0375,P9558A,225,KG,1287,CNY,2023-12,4.53,5830.110000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0375,P5154A,0,KG,396,CNY,2023-12,4.53,1793.88
2023-12-31,CHINA-WAREHOUSE,MAT-0376,P8018A,1175,KG,0,CNY,2023-12,4.53,0.0
2023-12-31,CHINA-WAREHOUSE,MAT-0376,P6453A,1500,KG,0,CNY,2023-12,4.53,0.0
2023-12-31,CHINA-WAREHOUSE,MAT-0312,P3115A,975,KG,3861,CNY,2023-12,4.53,17490.33
2023-12-31,CHINA-WAREHOUSE,MAT-0312,P9167A,31350,KG,124542,CNY,2023-12,4.53,564175.26
2023-12-31,CHINA-WAREHOUSE,MAT-0233,P5822A,600,KG,2376,CNY,2023-12,4.53,10763.28
2023-12-31,CHINA-WAREHOUSE,MAT-0233,P4793A,3000,KG,11880,CNY,2023-12,4.53,53816.4
2023-12-31,CHINA-WAREHOUSE,MAT-0233,P7722A,3000,KG,11880,CNY,2023-12,4.53,53816.4
2023-12-31,CHINA-WAREHOUSE,MAT-0377,P9024A,1325,KG,13338,CNY,2023-12,4.53,60421.14000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0377,P6100A,50900,KG,477360,CNY,2023-12,4.53,2162440.8000000003
2023-12-31,CHINA-WAREHOUSE,MAT-0377,P4150A,98900,KG,926640,CNY,2023-12,4.53,4197679.2
2023-12-31,CHINA-WAREHOUSE,MAT-0377,P6717A,1100,KG,10296,CNY,2023-12,4.53,46640.880000000005
2023-12-31,CHINA-WAREHOUSE,MAT-0197,P2939A,125,KG,638,CNY,2023-12,4.53,2890.1400000000003
2023-12-31,CHINA-WAREHOUSE,MAT-0198,1531,1125,KG,3533,CNY,2023-12,4.53,16004.490000000002
2023-12-31,CHINA-WAREHOUSE,MAT-0198,4076,1350,KG,4239,CNY,2023-12,4.53,19202.670000000002
2023-12-31,CHINA-WAREHOUSE,MAT-0198,5584,600,KG,1884,CNY,2023-12,4.53,8534.52
2023-12-31,CHINA-WAREHOUSE,MAT-0198,7994,325,KG,18291,CNY,2023-12,4.53,82858.23000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0198,8776,1300,KG,4082,CNY,2023-12,4.53,18491.460000000003
2023-12-31,CHINA-WAREHOUSE,MAT-0198,6338,1075,KG,3376,CNY,2023-12,4.53,15293.28
2023-12-31,CHINA-WAREHOUSE,MAT-0198,1073,2650,KG,8321,CNY,2023-12,4.53,37694.130000000005
2023-12-31,CHINA-WAREHOUSE,MAT-0198,8336,76425,KG,239975,CNY,2023-12,4.53,1087086.75
2023-12-31,CHINA-WAREHOUSE,MAT-0198,4423,44875,KG,140908,CNY,2023-12,4.53,638313.24
2023-12-31,CHINA-WAREHOUSE,MAT-0198,2101,20525,KG,64449,CNY,2023-12,4.53,291953.97000000003
2023-12-31,CHINA-WAREHOUSE,MAT-0198,7701,23325,KG,73241,CNY,2023-12,4.53,331781.73000000004
2023-12-31,CHINA-WAREHOUSE,MAT-0198,5498,112175,KG,352230,CNY,2023-12,4.53,1595601.9000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0198,4008,53000,KG,166420,CNY,2023-12,4.53,753882.6000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0198,7484,2500,KG,7850,CNY,2023-12,4.53,35560.5
2023-12-31,CHINA-WAREHOUSE,MAT-0198,9399,157875,KG,495728,CNY,2023-12,4.53,2245647.8400000003
2023-12-31,CHINA-WAREHOUSE,MAT-0198,9553,74250,KG,233145,CNY,2023-12,4.53,1056146.85
2023-12-31,CHINA-WAREHOUSE,MAT-0100,SCRAP,4599,KG,27779,CNY,2023-12,4.53,125838.87000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0095,SCRAP,1631,KG,2251,CNY,2023-12,4.53,10197.03
2023-12-31,CHINA-WAREHOUSE,MAT-0095,SCRAP,25,KG,35,CNY,2023-12,4.53,158.55
2023-12-31,CHINA-WAREHOUSE,MAT-0260,8509A,2400,KG,8976,CNY,2023-12,4.53,40661.28
2023-12-31,CHINA-WAREHOUSE,MAT-0204,4880A,9600,KG,35904,CNY,2023-12,4.53,162645.12
2023-12-31,CHINA-WAREHOUSE,MAT-0204,8331A,600,KG,2244,CNY,2023-12,4.53,10165.32
2023-12-31,CHINA-WAREHOUSE,MAT-0052,4755A,8400,KG,31416,CNY,2023-12,4.53,142314.48
2023-12-31,CHINA-WAREHOUSE,MAT-0412,1045A,4200,KG,15708,CNY,2023-12,4.53,71157.24
2023-12-31,CHINA-WAREHOUSE,MAT-0261,P9226A,0,KG,178,CNY,2023-12,4.53,806.34
2023-12-31,CHINA-WAREHOUSE,MAT-0261,P3205A,1175,KG,9078,CNY,2023-12,4.53,41123.340000000004
2023-12-31,CHINA-WAREHOUSE,MAT-0261,P7905A,203875,KG,1451590,CNY,2023-12,4.53,6575702.7
2023-12-31,CHINA-WAREHOUSE,MAT-0141,SCRAP,8298,KG,31033,CNY,2023-12,4.53,140579.49000000002
2023-12-31,CHINA-WAREHOUSE,MAT-0313,P7592A,1500,KG,6336,CNY,2023-12,4.53,28702.08
2023-12-31,CHINA-WAREHOUSE,MAT-0313,P8966A,1025,KG,4059,CNY,2023-12,4.53,18387.27
2023-12-31,CHINA-WAREHOUSE,MAT-0199,SCRAP,5999,KG,86080,CNY,2023-12,4.53,389942.4
2023-12-31,CHINA-WAREHOUSE,MAT-0199,T2455A,1175,KG,16861,CNY,2023-12,4.53,76380.33
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V8051A,875,KG,12556,CNY,2023-12,4.53,56878.68
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V7518A,100,KG,1435,CNY,2023-12,4.53,6500.55
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V2061A,675,KG,9686,CNY,2023-12,4.53,43877.58
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V4761A,525,KG,7534,CNY,2023-12,4.53,34129.020000000004
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V2724A,125,KG,1794,CNY,2023-12,4.53,8126.820000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V6816A,1000,KG,14350,CNY,2023-12,4.53,65005.5
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V3118A,650,KG,9328,CNY,2023-12,4.53,42255.840000000004
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V2011A,350,KG,5023,CNY,2023-12,4.53,22754.190000000002
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V4008A,1300,KG,18655,CNY,2023-12,4.53,84507.15000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V3640A,1325,KG,19014,CNY,2023-12,4.53,86133.42
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V6558A,1500,KG,21525,CNY,2023-12,4.53,97508.25
2023-12-31,CHINA-WAREHOUSE,MAT-0199,V6789A,725,KG,10404,CNY,2023-12,4.53,47130.12
2023-12-31,CHINA-WAREHOUSE,MAT-0200,8656A,1200,KG,4488,CNY,2023-12,4.53,20330.64
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V5128A,1425,KG,15134,CNY,2023-12,4.53,68557.02
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V7560A,1450,KG,15399,CNY,2023-12,4.53,69757.47
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V8893A,1150,KG,12213,CNY,2023-12,4.53,55324.89
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V6677A,1100,KG,11682,CNY,2023-12,4.53,52919.46000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V7073A,1250,KG,13275,CNY,2023-12,4.53,60135.75
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V4933A,188850,KG,2005587,CNY,2023-12,4.53,9085309.110000001
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V6666A,223450,KG,2373039,CNY,2023-12,4.53,10749866.67
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V6609A,63000,KG,669060,CNY,2023-12,4.53,3030841.8000000003
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V2490A,211500,KG,2246130,CNY,2023-12,4.53,10174968.9
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V6324A,146925,KG,1560344,CNY,2023-12,4.53,7068358.32
2023-12-31,CHINA-WAREHOUSE,MAT-0142,V1368A,260900,KG,2770758,CNY,2023-12,4.53,12551533.74
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V1228A,100,KG,1062,CNY,2023-12,4.53,4810.860000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V5600A,1250,KG,13275,CNY,2023-12,4.53,60135.75
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V5108A,14850,KG,157707,CNY,2023-12,4.53,714412.7100000001
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V5281A,3000,KG,31860,CNY,2023-12,4.53,144325.80000000002
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V5554A,203950,KG,2165949,CNY,2023-12,4.53,9811748.97
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V1211A,124500,KG,1322190,CNY,2023-12,4.53,5989520.7
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V9895A,305925,KG,3248924,CNY,2023-12,4.53,14717625.72
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V4276A,178425,KG,1894874,CNY,2023-12,4.53,8583779.22
2023-12-31,CHINA-WAREHOUSE,MAT-0143,V2118A,229450,KG,2436759,CNY,2023-12,4.53,11038518.270000001
2023-12-31,CHINA-WAREHOUSE,MAT-0314,V4288A,307150,KG,3670443,CNY,2023-12,4.53,16627106.790000001
2023-12-31,CHINA-WAREHOUSE,MAT-0314,V5728A,3200,KG,38240,CNY,2023-12,4.53,173227.2
2023-12-31,CHINA-WAREHOUSE,MAT-0314,V3829A,302925,KG,3619954,CNY,2023-12,4.53,16398391.620000001
2023-12-31,CHINA-WAREHOUSE,MAT-0314,V5271A,308900,KG,3691355,CNY,2023-12,4.53,16721838.15
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V2780A,169500,KG,1800090,CNY,2023-12,4.53,8154407.7
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V2658A,340375,KG,3614783,CNY,2023-12,4.53,16374966.99
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V1646A,473850,KG,5032287,CNY,2023-12,4.53,22796260.11
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V2470A,290950,KG,3089889,CNY,2023-12,4.53,13997197.17
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V3163A,41750,KG,443385,CNY,2023-12,4.53,2008534.05
2023-12-31,CHINA-WAREHOUSE,MAT-0144,V2128A,186900,KG,1984878,CNY,2023-12,4.53,8991497.34
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V4024A,1450,KG,15588,CNY,2023-12,4.53,70613.64
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V6439A,300,KG,3225,CNY,2023-12,4.53,14609.25
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V4459A,1425,KG,15319,CNY,2023-12,4.53,69395.07
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V7020A,1075,KG,11556,CNY,2023-12,4.53,52348.68
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V8570A,1275,KG,13706,CNY,2023-12,4.53,62088.18
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V4616A,1450,KG,15588,CNY,2023-12,4.53,70613.64
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V6075A,1425,KG,15319,CNY,2023-12,4.53,69395.07
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V3108A,1500,KG,16125,CNY,2023-12,4.53,73046.25
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V5715A,64325,KG,691494,CNY,2023-12,4.53,3132467.8200000003
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V1630A,349375,KG,3755781,CNY,2023-12,4.53,17013687.93
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V1892A,143900,KG,1546925,CNY,2023-12,4.53,7007570.25
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V1395A,569850,KG,6125888,CNY,2023-12,4.53,27750272.64
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V9333A,40500,KG,435375,CNY,2023-12,4.53,1972248.75
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V2710A,262450,KG,2821338,CNY,2023-12,4.53,12780661.14
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V2944A,470950,KG,5062713,CNY,2023-12,4.53,22934089.89
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V8079A,202500,KG,2176875,CNY,2023-12,4.53,9861243.75
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V1803A,355450,KG,3821088,CNY,2023-12,4.53,17309528.64
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V2181A,569825,KG,6125619,CNY,2023-12,4.53,27749054.07
2023-12-31,CHINA-WAREHOUSE,MAT-0145,V3873A,49500,KG,532125,CNY,2023-12,4.53,2410526.25
